model,experiment_id,case_id,seed,category,passed,passed_with_cost_gate,check_score,quality_check_score,keyword_coverage,cost_usd,input_tokens,output_tokens,rounds,duration_ms,error_category
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_01_municipality_co2_lorca,42,municipality,0,0,0.625,0.5,0.5,0.031059999999999997,19768,635,2,12133,tool_missing
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_02_municipality_erosion_antequera,42,municipality,1,1,1.0,1.0,1.0,0.04948374999999999,29971,1202,3,17682,
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_03_municipality_province_hint,42,municipality,1,1,1.0,1.0,1.0,0.04886375,30771,1040,3,14222,
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_04_municipality_multi_indicator,42,municipality,1,1,1.0,1.0,1.0,0.08059125,41841,2829,4,44613,
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_05_followup_drill_down,42,memory,0,0,0.7778,0.7143,1.0,0.031302500000000004,19578,683,2,18133,wrong_data
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_06_followup_compare_new,42,memory,1,1,1.0,1.0,1.0,0.0583525,30122,2070,3,22688,
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_07_followup_switch_indicator,42,memory,1,1,1.0,1.0,1.0,0.0679675,39094,1910,4,26397,
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_08_followup_chart_request,42,memory,1,1,1.0,1.0,1.0,0.031485,20276,614,2,9792,
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_09_spatial_coastal_erosion,42,spatial_reasoning,1,1,1.0,1.0,1.0,0.052325,31380,1310,3,16955,
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_10_spatial_inland_co2,42,spatial_reasoning,0,0,0.8333,0.75,1.0,0.06403249999999999,32194,2379,3,25859,wrong_data
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_11_spatial_autonomous_community,42,spatial_reasoning,0,0,0.375,0.1667,0.0,0.03191875,19871,708,2,11240,tool_missing
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_12_spatial_island_limitations,42,spatial_reasoning,0,0,0.75,0.5,1.0,0.015805,9580,383,1,6084,tool_missing
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_13_cross_indicator_tradeoff,42,cross_indicator,1,1,1.0,1.0,1.0,0.09124125,41897,3887,4,45916,
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_14_cross_indicator_low_risk,42,cross_indicator,0,0,0.8333,0.75,1.0,0.04303625,20477,1744,2,18999,wrong_data
